Run;PICP_LSTM;MPIW_LSTM;PICP_MLP;MPIW_MLP
1.0;0.6;5.958;0.21212121212121213;0.806
2.0;0.509090909090909;4.926;0.20606060606060606;1.74
3.0;0.32727272727272727;2.838;0.16363636363636364;1.476
4.0;0.3333333333333333;5.205;0.3151515151515151;2.216
5.0;0.2787878787878788;2.897;0.2606060606060606;1.101
6.0;0.24848484848484848;2.228;0.8181818181818182;11.788
7.0;0.14545454545454545;2.782;0.15151515151515152;-0.715
8.0;0.23636363636363636;3.121;0.06060606060606061;-0.543
9.0;0.45454545454545453;4.178;0.21212121212121213;1.572
10.0;0.49696969696969695;4.317;0.30303030303030304;2.391
